Protocol,Packet Length,Packet Type,Traffic Type,Malware Indicators,Anomaly Scores,Alerts/Warnings,Attack Type,Attack Signature,Action Taken,Severity Level,Network Segment,IDS/IPS Alerts,anomaly
0,503,1,2,0,28.67,1,2,1,2,1,0,1,1
0,1174,1,2,0,51.5,1,2,0,0,1,1,1,1
2,306,0,2,0,87.42,0,0,1,1,1,2,0,1
2,385,1,2,1,15.79,0,2,1,0,2,1,0,1
1,1462,1,0,1,0.52,0,0,1,0,1,2,0,-1
2,1423,1,2,1,5.76,1,2,0,2,2,2,1,-1
1,379,1,0,1,31.55,1,0,1,1,0,0,1,1
0,1022,1,0,0,54.05,0,1,0,2,0,0,0,1
1,1281,0,1,0,56.34,0,1,0,0,0,1,0,1
2,224,1,2,1,16.51,0,2,1,0,2,0,1,-1
0,661,1,2,1,24.91,0,2,1,1,2,1,1,1
1,281,0,2,1,86.07,1,2,1,1,1,1,1,1
0,64,0,0,1,74.2,0,1,0,0,2,1,0,1
0,1341,1,2,1,62.14,1,2,0,1,1,2,1,1
2,913,1,0,1,72.65,0,2,1,2,0,1,1,1
1,425,1,0,1,91.56,0,1,1,2,2,2,1,1
1,838,0,2,1,43.83,0,0,1,1,0,1,1,1
1,969,1,2,1,40.46,1,0,0,2,1,1,0,1
1,124,0,0,1,44.75,0,0,1,1,0,2,1,1
1,461,1,2,0,13.19,1,0,1,1,0,1,0,1
0,845,0,0,1,89.99,0,2,1,0,2,0,1,1
2,410,0,0,0,86.91,1,2,1,0,1,2,0,1
2,1425,1,0,1,72.25,1,0,0,2,0,0,0,-1
2,118,1,2,0,96.27,1,2,0,2,2,0,1,-1
1,1386,0,0,0,67.43,1,0,0,0,2,2,1,-1
2,433,0,0,1,89.86,0,1,0,2,1,2,0,1
2,531,0,1,1,87.23,1,2,0,0,0,2,0,1
1,282,0,2,0,44.4,0,0,0,2,1,0,0,1
0,1487,0,2,0,45.42,1,1,1,0,1,2,0,1
2,563,0,0,0,25.7,1,1,1,1,2,2,0,1
1,1313,0,2,0,69.2,0,0,1,2,1,2,1,1
2,350,0,2,1,77.06,0,0,0,1,2,0,0,1
1,373,1,0,0,3.87,0,2,0,1,2,1,0,1
0,1155,0,0,1,25.93,0,2,0,0,1,1,1,1
1,521,1,1,0,60.57,0,0,1,1,0,2,0,1
0,1346,1,1,0,67.73,1,1,0,0,1,0,0,1
2,1311,0,0,0,75.16,1,0,1,0,2,2,0,-1
2,117,0,1,1,75.46,0,2,1,2,1,1,1,1
1,1271,0,2,1,49.03,0,2,1,2,2,2,0,1
1,308,0,0,1,85.28,0,1,0,0,2,0,1,1
1,545,1,0,1,6.44,1,0,1,1,2,0,0,1
2,572,0,0,1,22.17,1,0,1,1,1,1,0,1
1,1474,0,2,0,29.66,1,0,1,2,1,0,1,-1
2,1363,1,1,0,10.75,0,1,0,0,0,0,1,1
2,443,1,0,1,42.14,0,2,1,1,0,0,0,1
1,1026,1,1,1,77.73,1,0,1,2,1,0,1,1
1,554,0,0,0,97.82,0,2,1,0,0,0,0,1
0,649,1,2,0,83.36,0,1,0,0,0,2,0,1
1,1378,0,0,0,40.71,1,2,0,0,2,2,0,1
0,107,1,2,1,1.33,0,0,1,1,0,0,1,-1
0,317,1,2,0,56.92,1,0,0,1,1,0,0,1
0,875,1,2,0,0.9,1,0,1,0,0,1,1,1
2,576,1,0,1,77.7,1,0,0,0,1,1,1,1
1,619,1,1,0,67.56,0,1,1,2,0,1,1,1
1,1224,1,2,0,91.82,0,2,0,2,2,2,0,-1
1,632,1,1,1,50.13,1,2,0,2,1,2,1,1
2,670,0,2,1,41.53,1,1,1,0,1,0,1,1
0,88,1,2,1,91.21,1,0,1,0,0,2,1,-1
1,1497,0,2,1,82.8,0,2,1,1,1,2,0,1
0,304,1,0,1,78.85,1,1,0,1,0,0,1,1
0,1001,1,2,0,50.69,0,0,0,1,1,0,1,1
2,1352,1,2,0,75.3,1,2,0,2,0,1,0,-1
2,548,1,1,1,33.08,1,0,1,0,1,2,0,1
2,1114,1,0,1,7.27,0,1,0,2,0,1,0,1
1,149,1,0,0,76.68,0,0,1,1,1,0,0,1
1,548,1,1,0,36.22,0,1,1,2,2,2,0,1
2,1106,0,2,0,13.36,0,2,0,2,0,2,0,-1
2,1290,0,1,0,69.01,1,1,1,1,1,1,0,1
2,190,1,0,0,4.74,0,0,1,2,0,0,0,-1
0,995,0,0,1,51.66,0,2,0,2,0,2,1,1
1,1342,0,2,0,83.86,0,1,0,0,0,1,1,1
0,722,1,2,1,79.61,0,2,0,1,2,2,0,1
0,1181,0,0,1,14.95,0,2,1,0,1,0,0,1
1,907,0,0,1,12.1,1,2,1,2,2,1,1,1
0,1427,1,2,0,3.33,1,1,0,1,0,1,1,1
2,793,0,2,0,18.93,0,1,0,0,1,1,1,1
0,686,0,0,1,96.83,1,0,0,1,1,1,1,1
2,1092,1,0,1,82.75,0,1,0,2,1,2,1,1
2,492,1,2,1,88.16,0,1,1,2,0,0,0,1
